_c0,appId,developer,developerId,developerWebsite,free,genre,genreId,inAppProductPrice,minInstalls,offersIAP,originalPrice,price,ratings,len screenshots,adSupported,containsAds,reviews,releasedDayYear,sale,score,summary,title,updated,histogram1,histogram2,histogram3,histogram4,histogram5,releasedDay,releasedYear,releasedMonth,dateUpdated,minprice,maxprice,ParseReleasedDayYear
0,com.cyou.cma.clauncher.theme.v542279ccb70366ba6adf1de2,Best theme workshop,7398289236941441420,http://www.c-launcher.com/,1,Art & Design,ART_AND_DESIGN,None,1000000,0,None,0.0,30650,4,1,1,152,"Sep 27, 2014",0,4.75,Cute Bear Theme for Launcher with pink hearts wallpapers and kawaii icon pack!,Cute Bear love  honey with Pin,1555921116.0,591,0,1815,1477,26681,27,2014,Sep,2019-04-22 08:18:36,None,0.0,2014-09-27 00:00:00
1,com.cyou.cma.clauncher.theme.v546307d9199ddff33502cbdb,Best Android Themes Workshop,5762674363677973291,http://www.c-launcher.com/,1,Art & Design,ART_AND_DESIGN,None,1000000,0,None,0.0,15150,15,1,1,62,"Nov 13, 2014",0,4.52,Enjoy Stylish launcher with Neon Night Romance on your android.,Stylish Romantic Theme: Neon N,1555921666.0,577,441,883,1664,11481,13,2014,Nov,2019-04-22 08:27:46,None,0.0,2014-11-13 00:00:00
2,com.kids.paint.free.app,NAVEENKUMAR,NAVEENKUMAR,https://naveenkumarapps.blogspot.com,1,Art & Design,ART_AND_DESIGN,None,500000,0,None,0.0,3312,8,1,1,59,"Dec 14, 2013",0,3.61,Do you like to draw and paint? Then this program is for you.,Paint,1640242939.0,695,182,347,494,1555,14,2013,Dec,2021-12-23 07:02:19,None,0.0,2013-12-14 00:00:00
3,com.touchpal.touchpal_skins_tropical_paradise,360 Fractal,360+Fractal,None,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,915,12,1,1,58,"Oct 13, 2014",0,4.5,Animated keyboard Tropical paradise theme,Tropical paradise Keyboard Ani,1537435772.0,24,8,72,173,628,13,2014,Oct,2018-09-20 09:29:32,None,0.0,2014-10-13 00:00:00
4,com.musmon.Prado,MUSMon.com,MUSMon.com,http://musmon.com,0,Art & Design,ART_AND_DESIGN,None,1000,0,None,2.61,38,24,0,0,5,"Oct 1, 2013",0,4.0,"Explains 54 masterpieces, the only app with interactive floorplans and voiceover",Prado Museum - Madrid,1403192042.0,0,5,10,0,21,1,2013,Oct,2014-06-19 15:34:02,None,0.0,2013-10-01 00:00:00
5,de.diewidmannbibel.appfull.v1,Wiedmann Media AG,Wiedmann+Media+AG,http://thewiedmannbible.com,0,Art & Design,ART_AND_DESIGN,None,500,0,None,9.9,0,24,0,0,0,"Jul 28, 2015",0,0.0,Engage with the Bible Pictorially!,Wiedmann Bible,1664662424.0,0,0,0,0,0,28,2015,Jul,2022-10-01 22:13:44,None,0.0,2015-07-28 00:00:00
6,freeappscollection.freeapps.wish.quote.sunrise.photoframe.selfie.goodmorning,Fashion Club,Fashion+Club,None,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,0,18,1,1,0,"Mar 19, 2016",0,0.0,"send good morning with your photo on imo, fb, whatsapp, twitter etc...",Good Morning Wish Photo Frame,1465326164.0,0,0,0,0,0,19,2016,Mar,2016-06-07 19:02:44,None,0.0,2016-03-19 00:00:00
7,in.letstartup.nailart,Make in India Apps,Make+in+India+Apps,https://dailyshare.in/,1,Art & Design,ART_AND_DESIGN,None,1000,0,None,0.0,0,4,1,1,0,"Aug 18, 2016",0,0.0,Beautiful Nail Art Design. Latest Nail Art 2019. Bollywood and Hollywood Theme.,Nail Art and Design - Latest 2,1481880380.0,0,0,0,0,0,18,2016,Aug,2016-12-16 09:26:20,None,0.0,2016-08-18 00:00:00
8,net.atlassc.playofthegamememe,ShinChven Zhang,ShinChven+Zhang,https://github.com/ShinChven/potg_meme/blob/master/readme.md,1,Art & Design,ART_AND_DESIGN,None,100000,0,None,0.0,629,4,1,1,78,"Aug 14, 2016",0,3.94,OVERWATCH PLAY OF THE GAME SCREENSHOT MEME GENERATOR!,PLAY OF THE GAME - image meme,1566435903.0,89,14,66,89,349,14,2016,Aug,2019-08-22 01:05:03,None,0.0,2016-08-14 00:00:00
9,com.ewdraw.doodle,DrawAPP,DrawAPP,http://drawapp.cc/,1,Art & Design,ART_AND_DESIGN,$0.99 per item,1000000,1,None,0.0,6864,24,1,1,360,"Aug 26, 2016",0,3.9,It's simply the best and funnest doodle app for you !,Doodle : Draw | Joy,1660664062.0,1232,472,201,751,4179,26,2016,Aug,2022-08-16 15:34:22,$0.99 per item,0.99,2016-08-26 00:00:00
10,jp.co.a_tm.android.plus_moonlight_fantasy2,+HOME by Ateam Entertainment,%2BHOME+by+Ateam+Entertainment,https://www.atm-plushome.com/,1,Art & Design,ART_AND_DESIGN,None,50000,0,None,0.0,437,5,1,1,9,"Sep 11, 2016",0,4.68,A fantastic scene of a crescent moon in the night sky!,Moonlight Fantasy Theme +HOME,1473650319.0,14,0,14,56,352,11,2016,Sep,2016-09-12 03:18:39,None,0.0,2016-09-11 00:00:00
11,jp.co.a_tm.android.plus_halloween_cupcakes,+HOME by Ateam Entertainment,%2BHOME+by+Ateam+Entertainment,https://www.atm-plushome.com/,1,Art & Design,ART_AND_DESIGN,None,10000,0,None,0.0,177,5,1,1,10,"Oct 4, 2016",0,4.83,Cute Haloween-themed cupcakes,Halloween Cupcakes  Theme,1475577037.0,0,7,0,7,161,4,2016,Oct,2016-10-04 10:30:37,None,0.0,2016-10-04 00:00:00
